chat_no,model,template_id,question_id,Analytical,Emotionality,Abstraction,Word Count,Self-references,Certainty,Hedges,Lexical Diversity,Reading Difficulty
121,Dolphin,7,1453,7.69,19.23,2.333188908,52,0,0,0.0,39,12.5
122,Dolphin,7,1711,8.63,27.59,2.555412371,58,0,0,1.72,44,9.5
123,Dolphin,7,1900,-5.18,39.66,2.64318276,58,0,0,1.72,48,12.5
124,Dolphin,7,2642,0.0,23.27,2.499570077,43,0,0,0.0,36,10.5
125,Gemini-Pro,7,1453,12.49,12.5,1.5,24,0,0,0.0,20,0.0
126,Gemini-Pro,7,1711,16.13,16.14,2.166838843,31,0,0,9.68,24,0.0
127,Gemini-Pro,7,1900,-20.58,41.18,2.875,34,0,0,5.88,30,0.0
128,Gemini-Pro,7,2642,0.01,17.85,2.5712,28,0,0,0.0,19,0.0
129,GPT-3.5-turbo,7,1453,8.93,30.36,2.368700265,56,0,0,1.79,47,0.0
130,GPT-3.5-turbo,7,1711,4.0,26.0,2.538461538,50,0,0,4.0,43,14.1
131,GPT-3.5-turbo,7,1900,0.0,43.48,2.454621497,46,0,0,0.0,40,0.0
132,GPT-3.5-turbo,7,2642,-9.1,27.28,2.500550055,44,0,0,2.27,38,15.5
133,GPT-4,7,1453,1.2,29.28,2.685714286,164,0,0,1.83,111,12.8
134,GPT-4,7,1711,1.91,19.99,2.320033599,105,0,0,0.0,86,12.5
135,GPT-4,7,1900,-6.35,30.16,2.262599469,126,0,0,0.79,93,12.8
136,GPT-4,7,2642,2.98,34.34,2.34996651,67,0,0,2.99,55,13.6
137,Mixtral-8x7B,7,1453,2.32,11.64,2.570902394,43,0,0,0.0,36,9.7
138,Mixtral-8x7B,7,1711,0.0,30.63,2.356953056,62,0,0,8.06,45,12.5
139,Mixtral-8x7B,7,1900,-10.86,30.43,2.727728984,46,0,0,0.0,40,9.7
140,Mixtral-8x7B,7,2642,6.0,20.0,2.555555556,50,0,0,0.0,38,10.1
