chat_no,model,template_id,question_id,Analytical,Emotionality,Abstraction,Word Count,Self-references,Certainty,Hedges,Lexical Diversity,Reading Difficulty
1,Dolphin,1,1453,-8.07,12.9,2.636619718,62,0.0,0.0,0.0,40,10.1
2,Dolphin,2,1453,-9.68,19.36,2.726965342,31,0.0,6.45,6.45,30,0.0
3,Dolphin,3,1453,-32.04,23.3,2.581317365,103,2.91,0.0,3.88,77,7.2
4,Dolphin,4,1453,3.7,28.39,2.363535912,81,1.23,1.23,0.0,72,12.6
5,Dolphin,5,1453,-0.01,24.64,2.666922192,69,0.0,0.0,2.9,59,12.6
6,Dolphin,6,1453,-2.8,29.91,2.499832832,107,0.0,0.0,0.93,80,13.8
7,Gemini-Pro,1,1453,14.29,50.0,2.181771894,28,0.0,0.0,0.0,25,6.4
8,Gemini-Pro,2,1453,-18.19,45.46,2.833211144,22,0.0,0.0,0.0,21,0.0
9,Gemini-Pro,3,1453,-15.31,32.95,2.240054403,85,3.53,0.0,2.35,67,7.2
10,Gemini-Pro,4,1453,-9.09,27.27,2.928369463,66,0.0,0.0,1.52,55,14.1
11,Gemini-Pro,5,1453,-10.0,21.67,2.545553737,60,0.0,0.0,0.0,47,9.5
12,Gemini-Pro,6,1453,4.85,25.8,2.845896947,62,0.0,0.0,1.61,52,12.5
13,GPT-3.5-turbo,1,1453,-9.09,9.1,2.799824021,22,0.0,0.0,9.09,20,0.0
14,GPT-3.5-turbo,2,1453,-10.01,23.33,1.99949975,30,0.0,3.33,6.67,29,11.2
15,GPT-3.5-turbo,3,1453,-24.33,31.08,2.476207261,74,6.76,1.35,5.41,60,8.2
16,GPT-3.5-turbo,4,1453,-1.37,16.22,2.199309324,74,0.0,1.35,2.7,58,12.6
17,GPT-3.5-turbo,5,1453,13.56,28.65,2.583747927,199,0.0,1.01,1.51,123,15.1
18,GPT-3.5-turbo,6,1453,12.12,12.12,1.9375,99,0.0,0.0,3.03,56,11.5
19,GPT-4,1,1453,2.25,24.99,2.333528894,44,0.0,0.0,4.55,40,0.0
20,GPT-4,2,1453,0.01,25.92,1.999549752,27,0.0,0.0,3.7,26,0.0
21,GPT-4,3,1453,-37.78,28.88,2.692520776,45,2.22,0.0,2.22,42,8.8
22,GPT-4,4,1453,6.3,12.63,2.500296736,95,0.0,0.0,4.21,67,12.6
23,GPT-4,5,1453,9.21,21.28,2.392947103,141,0.0,1.42,2.84,98,14.3
24,GPT-4,6,1453,1.0,20.0,2.56,100,0.0,0.0,5.0,76,17.5
25,Mixtral-8x7B,1,1453,-3.34,23.34,2.556,60,0.0,0.0,1.67,48,10.1
26,Mixtral-8x7B,2,1453,-9.76,29.27,2.866356928,41,2.44,4.88,0.0,33,0.0
27,Mixtral-8x7B,3,1453,-17.32,36.53,2.562235944,52,1.92,3.85,1.92,47,8.8
28,Mixtral-8x7B,4,1453,-4.68,22.66,2.262980445,128,0.78,3.91,0.78,87,12.8
29,Mixtral-8x7B,5,1453,3.15,17.33,2.625198518,127,0.0,1.57,2.36,82,14.3
30,Mixtral-8x7B,6,1453,18.68,25.3,2.480079681,166,0.0,0.6,1.2,78,13.6
31,Dolphin,1,1711,-14.3,15.71,2.523507836,70,0.0,0.0,4.29,57,8.8
32,Dolphin,2,1711,-8.33,25.0,2.3568735,48,2.08,0.0,2.08,44,7.8
33,Dolphin,3,1711,-32.06,42.29,2.285793872,78,3.85,2.56,7.69,64,11.7
34,Dolphin,4,1711,-2.66e-15,31.95,2.230683091,97,2.06,1.03,1.03,79,13.4
35,Dolphin,5,1711,-5.59,24.3,2.477896696,107,0.0,0.0,0.93,75,15.2
36,Dolphin,6,1711,-1.78e-15,34.75,2.567131096,95,0.0,0.0,4.21,74,15.5
37,Gemini-Pro,1,1711,0.0,27.27,2.25,11,0.0,0.0,0.0,11,0.0
38,Gemini-Pro,2,1711,-3.46,31.03,1.374909355,29,0.0,0.0,3.45,26,0.0
39,Gemini-Pro,3,1711,6.67,26.67,2.167,30,0.0,0.0,0.0,24,0.0
40,Gemini-Pro,4,1711,-6.39,25.54,2.0,47,0.0,0.0,0.0,37,0.0
41,Gemini-Pro,5,1711,-2.82,25.36,2.333727811,71,0.0,0.0,0.0,58,10.9
42,Gemini-Pro,6,1711,-2.83,32.06,2.5,106,0.0,0.0,0.94,79,16.6
43,GPT-3.5-turbo,1,1711,4.0,40.0,2.2,25,0.0,0.0,0.0,25,0.0
44,GPT-3.5-turbo,2,1711,45.45,36.36,2.333333333,11,0.0,0.0,0.0,10,0.0
45,GPT-3.5-turbo,3,1711,-16.95,35.08,2.539671683,171,1.17,0.58,7.6,113,10.9
46,GPT-3.5-turbo,4,1711,7.51,41.94,2.292134831,93,0.0,0.0,0.0,71,15.0
47,GPT-3.5-turbo,5,1711,8.37,34.66,2.466527197,251,0.0,0.0,0.4,157,17.2
48,GPT-3.5-turbo,6,1711,5.56,42.6,2.684195566,54,0.0,0.0,1.85,46,16.3
49,GPT-4,1,1711,12.0,12.0,2.4,25,0.0,0.0,4.0,22,0.0
50,GPT-4,2,1711,2.43,26.84,1.8,41,0.0,0.0,4.88,35,12.5
51,GPT-4,3,1711,6.25,34.38,1.75009996,32,0.0,0.0,6.25,29,0.0
52,GPT-4,4,1711,-5.1,44.88,2.333212341,98,0.0,0.0,1.02,79,14.1
53,GPT-4,5,1711,5.68,40.92,2.0,88,0.0,1.14,1.14,64,13.0
54,GPT-4,6,1711,-2.42,25.3,2.722785978,83,0.0,1.2,6.02,68,14.6
